"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"BR";"Presidente";"13";"DILMA VANA ROUSSEFF";"PT";"PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB";"Eleito";"54.501.118";"51,64"
"";"";"45";"AÉCIO NEVES DA CUNHA";"PSDB";"PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B";"Não eleito";"51.041.155";"48,36"
"";"";"";"";"";"";"";"105.542.273";""
"";"";"";"";"";"";"";"105.542.273";""
"";"";"";"";"";"";"";"105.542.273";""
"";"";"";"";"";"";"";"105.542.273";""
